Local Government Directory,,,,,,,
All Districts of MADHYA PRADESH(State Code:23) State,,,,,,,
,,,,,,,
S. No.,District Code,District Version,District Name,District Name,  Census 2001 Code,Census 2011 Code,
,,,(In English),(In Local),,,
1,667,1,AGAR MALWA,??? ?????,,000,
2,639,1,ALIRAJPUR,?????????,24,465,
3,390,1,ANUPPUR,???????,16,461,
4,391,1,ASHOKNAGAR,???????,46,459,
5,392,1,BALAGHAT,???????,45,457,
6,393,1,BARWANI,???????,28,441,
7,394,1,BETUL,?????,35,447,
8,395,1,BHIND,?????,03,420,
9,396,1,BHOPAL,?????,32,444,
10,397,1,BURHANPUR,?????????,29,467,
11,398,1,CHHATARPUR,???????,09,425,
12,399,1,CHHINDWARA,??????????,43,455,
13,400,1,DAMOH,????,12,428,
14,401,2,DATIA,?????,05,422,
15,402,1,DEWAS,?????,23,437,
16,403,1,DHAR,???,25,438,
17,404,1,DINDORI,???????,41,453,
18,405,1,EAST NIMAR,????? ?????? ??????,29,466,
19,406,1,GUNA,????,07,458,
20,407,1,GWALIOR,????????,04,421,
21,408,1,HARDA,????,36,448,
22,409,1,HOSHANGABAD,?????????,37,449,
23,410,1,INDORE,??????,26,439,
24,411,1,JABALPUR,??????,39,451,
25,412,1,JHABUA,?????,24,464,
26,413,1,KATNI,????,38,450,
27,414,1,KHARGONE,?????,27,440,
28,415,1,MANDLA,?????,42,454,
29,416,1,MANDSAUR,???????,19,433,
30,417,1,MORENA,??????,02,419,
31,418,1,NARSINGHPUR,?????????,40,452,
32,419,1,NEEMUCH,????,18,432,
33,722,1,Niwari,??????,,000,
34,420,1,PANNA,?????,10,426,
35,421,1,RAISEN,??????,34,446,
36,422,1,RAJGARH,??????,30,442,
37,423,1,RATLAM,?????,20,434,
38,424,1,REWA,????,14,430,
39,425,1,SAGAR,????,11,427,
40,426,1,SATNA,????,13,429,
41,427,1,SEHORE,?????,33,445,
42,428,1,SEONI,?????,44,456,
43,429,1,SHAHDOL,?????,16,460,
44,430,2,SHAJAPUR,???????,22,436,
45,431,1,SHEOPUR,???????,01,418,
46,432,2,SHIVPURI,???????,06,423,
47,433,1,SIDHI,????,17,462,
48,638,1,SINGRAULI,????????,,463,
49,434,2,TIKAMGARH,???????,08,424,
50,435,1,UJJAIN,??????,21,435,
51,436,1,UMARIA,??????,15,431,
52,437,1,VIDISHA,??????,31,443,
,,,,,,,
"Mar 22, 2022 9:38 AM",,,,,,,
